"","Discipline","Description of Finding","Original Report","Replication Report"
"...134",NA,"Decision making and learning while taking sequential risks.","Decision making and learning while taking sequential risks. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 167-185.","Forsell, E., Heikensten, E. K., Dreber, A., & Johannesson, M. (2023, September 28). Replication of TJ Pleskac (2008, JEPLMC 34(1)). Retrieved from osf.io/38ges"
"...138",NA,"The rejection of moral rebels: Resenting those who do the right thing.","B Monin, PJ Sawyer, MJ Marquez (2008). The rejection of moral rebels: resenting those who do the right thing. Journal of Personality and Social Psychology, 95.1: 76-93.","Frank, M. C., & Holubar, T. (2023, September 28). Replication of Monin, Sawyer, & Marquez (2008, JPSP 95(1), Exp. 4). Retrieved from osf.io/pz0my"
"...139",NA,"Why do implicit and explicit attitude tests diverge? The role of structural fit.","Payne, B. K. Burkley, M. A. Stokes, M. B. (2008). Why Do Implicit and Explicit Attitude Tests Diverge? The Role of Structural Fit. Journal of Personality and Social Psychology, 94, 16–31.","Vianello, M. (2023, September 28). Replication of Payne, Burkley & Stokes (2008, JPSP, Study 4). Retrieved from osf.io/rc6mv"
"...141",NA,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.","Soto, C.J., John, O.P., Gosling, S.D., & Potter, J. (2008). The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20. Journal of Personality and Social Psychology, 94(4), 718-737.","Soderberg, C. K. (2023, September 28). Replication of CJ Soto, OP John, SD Gosling, J Potter (2008, JPSP 94(4)). Retrieved from osf.io/kez47"
"...143",NA,"Terror management and adults' attachment to their parents: The safe haven remains.","Cox, C.R., Arndt, J., Pyszczynski, T., Greenberg, J., Abdollahi, A., & Solomon, S. (2008). Terror management and adults' attachment to their parents: The safe haven remains. Journal of Personality and Social Psychology, 94(4), 696-717.","Wissink, J., Hoogendoorn, G. E. A. M., Brohmer, H., Verschoor, M., Zeelenberg, M., & Krijnen, J. M. T. (2016, August 19). Replication of CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon (2008, JPSP 94(4), Exp. 6). Retrieved from osf.io/5tbxf"
"...144",NA,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.","D Albarracín, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart (2008). Increasing and decreasing motor and cognitive output: a model of general action and inaction goals. Journal of Personality and Social Psychology, 95.3: 510-523.","Frank, M. C., Kim, S. K., & Lee, K. J. (2023, September 28). Replication of Albarracín et al. (2008, JPSP). Retrieved from osf.io/vy1bc"
"...145",NA,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.","Albarracín, D., Handley, I.M., Noguchi, K., McCulloch, K.C., Li, H., Leeper, J., Brown, R.D., Earl, A., & Hart, W.P. (2008). Increasing and decreasing motor and cognitive output: A model of general action and inaction goals. Journal of Personality and Social Psychology, 95(3), 510-523.","Voracek, M., & Sonnleitner, C. (2016, August 19). Replication of D Albarracín, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart (2008, JPSP 95(3), Exp. 7). Retrieved from osf.io/rgm6p "
"...147",NA,"Affective incoherence: When affective concepts and embodied reactions clash."," Centerbar, D.B., Schnall, S., Clore, G.L., & Garvin, E.D. (2008). Affective incoherence: When affective concepts and embodied reactions clash. Journal of Personality and Social Psychology, 94(4), 560-578. doi: 10.1037/0022-3514.94.4.560","Humphries, D., Brown, K., DeGaetano, M., Mainard, H., Attridge, P. R., Brown, B. T., & Hicks, G. (2023, September 28). Replication of Centerbar, Schnall, Clore, & Garvin (2008, JPSP, Study 5). Retrieved from osf.io/l8srm"
"...148",NA,"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.","Amodio, D. M., Devine, P. G., & Harmon-Jones, E. (2008). Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control. Journal of Personality and Social Psychology, 94(1), 60-74.","Johnson-Grey, K. M., Hayes, T. B., & Graham, J. (2023, September 28). Replication of Amodio, Devine, & Harmon-Jones (2008, JPSP, Study 2). Retrieved from osf.io/wkgpq"
"...150",NA,"Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.","Harmon-Jones, E., Harmon-Jones, C., Fearn, M., Sigelman, J.D., & Johnson, P. (2008). Left frontal cortical activation and spreading of alternatives: Test of the action-based model of dissonance. Journal of Personality and Social Psychology, 94(1), 1-15.","Gable, P. A., & Mechin, N. (2023, September 28). Replication of E Harmon-Jones, C Harmon-Jones, M Fearn, JD Sigelman, P Johnson (2008, JPSP 94(1), Exp. 2). Retrieved from osf.io/su6bm"
"...151",NA,"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.","van Dijk, E., van Kleef, G.A., Steinel, W., & van Beest, I. (2008). A social functional approach to emotions in bargaining: When communicating anger pays and when it backfires. Journal of Personality and Social Psychology, 94(4), 600-614.","Voracek, M., & Slowik, A. (2023, September 28). Replication of E van Dijk, GA van Kleef, W Steinel, I van Beest (2008, JPSP 94(4), Exp. 3). Retrieved from osf.io/xtsq6"
"...153",NA,"Walking on eggshells: How expressing relationship insecurities perpetuates them.","Lemay, E.P., & Clark, M.S. Walking on eggshells: How expressing relationship insecurities perpetuates them. Journal of Personality and Social Psychology, 95(2), 420-441.","Baranski, E. (2023, September 28). Replication of Lemay and Clark (2008, JPSP 95(2), Exp 5). Retrieved from osf.io/ke43j"
"...154",NA,"How the head liberates the heart: Projection of communal responsiveness guides relationship promotion.","How the head liberates the heart: projection of communal responsiveness guides relationship promotion. Journal of Personality and Social Psychology, 95(4), 647-671.","Marigold, D. C., Forest, A. L., & Anderson, J. (2023, September 28). Replication of Lemay and Clark (2008, JPSP 95(4), Exp 5). Retrieved from osf.io/h84qd"
"...156",NA,"Poignancy: Mixed emotional experience in the face of meaningful endings.","Ersner-Hershfield, H. H., Mikels, J. A., Sullivan, S. J., & Carstensen, L. L. (2008). Poignancy: mixed emotional experience in the face of meaningful endings. Journal of Personality and Social Psychology, 94(1), 158-167.","Talhelm, T., Eggleston, C., & Lee, M. (2023, September 28). Replication of Ersner-Hershfield et al. (2008, JPSP, Study 2). Retrieved from osf.io/sq8k9"
"...158",NA,"1/f noise and effort on implicit measures of bias."," Correll, J. (2008). 1/f noise and effort on implicit measures of bias. Journal of Personality and Social Psychology, 94, 48-59.","LeBel, E. P. (2023, September 28). Replication of Correll (2008, JPSP, Study 2). Retrieved from osf.io/fejxb"
"...159",NA,"The effect of global versus local processing styles on assimilation versus contrast in social judgment.","Förster, J., Liberman, N., & Kuschel, S. (2008). The effect of global versus local processing styles on assimilation versus contrast in social judgment. Journal of Personality and Social Psychology, 94, 579-599.","Reinhard, D. A. (2023, September 28). Replication of J Förster, N Liberman, & S Kuschel (2008, JPSP, Study 1). Retrieved from osf.io/mxryb"
"...160",NA,"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?","JJ Exline, RF Baumeister, AL Zell, AJ Kraft, CV Witvliet (2008). Not so innocent: does seeing one's own capacity for wrongdoing predict forgiveness? Journal of Personality and Social Psychology: 94.3: 495-515.","Lin, S. C., & Frank, M. C. (2023, September 28). Replication of Exline et al. (2008, JPSP, Study 7). Retrieved from osf.io/imrx2"
"...163",NA,"Why people are reluctant to tempt fate.","JL Risen, T Gilovich (2008). Why people are reluctant to tempt fate. Journal of Personality and Social Psychology, 95.2: 293-307.","Frank, M. C., & Mathur, M. B. (2023, September 28). Replication of Risen & Gilovich (2008, JPSP). Retrieved from osf.io/sg3su"
"...164",NA,"The nonverbal expression of pride: Evidence for cross-cultural recognition.","Tracy, J.L., & Robins, R.W. (2008). The nonverbal expression of pride: Evidence for cross-cultural recognition. Journal of Personality and Social Psychology, 94(3), 516-530.","Sullivan, G. B. (2023, September 28). Replication of Tracy and Robins (2008, JPSP, Exp 4). Retrieved from osf.io/qthf2"
"...166",NA,"On the relative independence of thinking biases and cognitive ability.","KE Stanovich, RF West (2008). On the relative independence of thinking biases and cognitive ability. Journal of Personality and Social Psychology, 94(4):672-95. doi: 10.1037/0022-3514.94.4.672.","Baranski, E. (2023, September 28). Replication of Stanovich and West (2008, JPSP 94(4), Exp. 8). Retrieved from osf.io/7ux8p"
"...167",NA,"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.","Blankenship, K. L., & Wegener, D. T. (2008). Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change. Journal of Personality and Social Psychology, 94, 196-213.","Lemm, K. M. (2023, September 28). Replication of Blankenship & Wegener (2008, JPSP, Study 5A). Retrieved from osf.io/2gx4k"
"...168",NA,"Distinguishing between silent and vocal minorities: Not all deviants feel marginal.","Morrison, Kimberly Rios, and Dale T. Miller. ""Distinguishing between silent and vocal minorities: Not all deviants feel marginal."" Journal of Personality and Social Psychology 94.5 (2008): 871","Motyl, M., & Nosek, B. A. (2023, September 28). Replication of Morrison & Miller (2008, JPSP, Study 3). Retrieved from osf.io/nhwv5"
"...172",NA,"Dynamics of self-regulation: How (un) accomplished goal actions affect motivation."," Koo, M., & Fishbach, A. (2008). Dynamics of self-regulation: How (un)accomplished goal actions affect motivation. Journal of Personality and Social Psychology, 94(2), 183-195.","Kidwell, M., & Dodson, G. T. (2016, August 19). Replication of M Koo, A Fishbach (2008, JPSP 94(2), Exp. 4). Retrieved from osf.io/nr7d9"
"...175",NA,"The effects of an implemental mind-set on attitude strength.","MD Henderson, Y de Liver, PM Gollwitzer (2008). The effects of an implemental mind-set on attitude strength. Journal of Personality and Social Psychology, 94.3: 396-411.","Lane, K. A., & Gazarian, D. (2016, August 19). Replication of Henderson, de Liver, & Gollwitzer (2008, JPSP, Expt. 5). Retrieved from osf.io/79dey"
"...176",NA,"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.","Shnabel, Nurit, and Arie Nadler. ""A needs-based model of reconciliation: satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation."" Journal of personality and social psychology 94.1 (2008): 116.","Gilbert, E. A. (2023, September 28). Replication of Shnabel & Nadler (2008, JPSP, Study 4). Retrieved from osf.io/xse7q"
"...177",NA,"The face of success: inferences from chief executive officers' appearance predict company profits.","Rule, N., & Ambady, N. (2008). The face of success: Inferences from chief executive officers' appearance predict company profits. Psychological Science 19(2), 109-111.","Talhelm, T., Eggleston, C., & Lee, M. (2023, September 28). Replication of Rule & Ambady (2008, PS, Study 1). Retrieved from osf.io/r5gpv"
"...179",NA,"Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.","P Fischer, S Schulz-Hardt, D Frey (2008). Selective exposure and information quantity: how different information quantities moderate decision makers' preference for consistent and inconsistent information. Journal of Personality and Social Psychology, 94.2: 231-244.","Ratliff, K. A. (2023, September 28). Replication of Fischer et al. (2008, JPSP, Study 4). Retrieved from osf.io/v8vft"
"...181",NA,"Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.","Fischer, P., Greitemeyer, T., & Frey, D. (2008). Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing. Journal of Personality and Social Psychology, 94(3), 382-395.","Galliani, E. M. (2023, September 28). Replication of Fischer, Greitemeyer, & Frey (2008, JPSP, Study 2). Retrieved from osf.io/j8bpa"
"...182",NA,"The space between us: Stereotype threat and distance in interracial contexts."," P.A. Goff, C.M. Steele, & P.G. Davies, 2008. The space between us: Stereotype threat and distance in interracial contexts. Journal of Personality and Social Psychology, 94, 91-107.","Kelso, K., Gampa, A., Wright, E. C., Spencer, N. B., & Welsh, A. (2023, September 28). Replication of Goff, Steele, and Davies (JPSP, 2008, Study 4). Retrieved from osf.io/abxcj"
"...184",NA,"Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?","Eastwick, P. W., & Finkel, E. J. (2008). Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?. Journal Of Personality And Social Psychology, 94(2), 245-264. doi:10.1037/0022-3514.94.2.245","Selterman, D. F., Chagnon, E., & Mackinnon, S. P. (2023, September 28). Replication of Eastwick & Finkel (2008, JPSP). Retrieved from osf.io/ng6cc"
"...188",NA,"Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.","Murray, S.L., Derrick, J.L., Leder, S., & Holmes, J.G. (2008). Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation. Journal of Personality and Social Psychology, 94(3), 429-459.","Sinclair, H. C., Goldberg, R. M., Wu, S., & Smith, M. M. (2016, August 19). Replication of SL Murray, JL Derrick, S Leder, JG Holmes (2008, JPSP 94(3), Exp. 8). Retrieved from osf.io/cxmf6"
